subject,session,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN05CA,2,48,gestures/girl_PL.mp4,h_g,u,S,girl,1,47,1.5854498,u,TRUE
AN05CA,2,49,gestures/girl_PL.mp4,wh_stle,i,S,girl,1,48,1.4805937,i,TRUE
AN05CA,2,50,gestures/baby_PL.mp4,sm_le,i,S,baby,1,49,1.2455761,i,TRUE
AN05CA,2,51,gestures/cat_POS.mp4,n_se,o,S,cat,1,50,1.2602806,o,TRUE
AN05CA,2,52,gestures/girl_POS.mp4,ha_r,i,S,girl,1,51,2.5850718,e,FALSE
AN05CA,2,53,gestures/frog_PL.mp4,j_mp,u,S,frog,1,52,1.9085621,u,TRUE
AN05CA,2,54,gestures/baby_POS.mp4,t_ddy,e,S,baby,1,53,1.4053736,e,TRUE
AN05CA,2,55,gestures/cat_PL.mp4,sl_ep,e,S,cat,1,54,1.7889429,e,TRUE
AN05CA,2,56,gestures/frog_POS.mp4,fo_t,o,S,frog,1,55,1.43529,o,TRUE
AN05CA,2,57,gestures/car_POS.mp4,whe_l,e,S,car,1,56,3.2317226,e,TRUE
AN05CA,2,58,gestures/car_POS.mp4,wind_w,o,S,car,1,57,1.7031196,o,TRUE
AN05CA,2,59,gestures/frog_POS.mp4,tong_e,u,S,frog,1,58,2.1135128,u,TRUE
AN05CA,2,60,gestures/girl_POS.mp4,dr_ss,e,S,girl,1,59,1.3057373,e,TRUE
AN05CA,2,61,gestures/dog_PL.mp4,b_rk,a,S,dog,1,60,1.5077419,a,TRUE
AN05CA,2,62,gestures/baby_PL.mp4,cr_wl,a,S,baby,1,61,1.355614,a,TRUE
AN05CA,2,63,gestures/cat_POS.mp4,ta_l,i,S,cat,1,62,1.3472677,i,TRUE
AN05CA,2,64,gestures/car_PL.mp4,m_ve,o,S,car,1,63,2.7600574,o,TRUE
AN13MA,1,1,gestures/girl_PL.mp4,wh_stle,i,S,girl,1,0,3.5783238,a,FALSE
AN13MA,1,2,gestures/baby_POS.mp4,t_ddy,e,S,baby,1,1,1.611417,a,FALSE
AN13MA,1,3,gestures/car_POS.mp4,whe_l,e,S,car,1,2,2.1656601,e,TRUE
AN13MA,1,4,gestures/horse_POS.mp4,h_ad,e,S,horse,1,3,3.7603488,e,TRUE
AN13MA,1,5,gestures/girl_POS.mp4,dr_ss,e,S,girl,1,4,1.9404937,e,TRUE
AN13MA,1,6,gestures/cat_POS.mp4,n_se,o,S,cat,1,5,1.7351294,o,TRUE
AN13MA,1,7,gestures/frog_POS.mp4,tong_e,u,S,frog,1,6,4.7743526,i,FALSE
AN13MA,1,8,gestures/girl_POS.mp4,ha_r,i,S,girl,1,7,2.2556033,i,TRUE
AN13MA,1,9,gestures/baby_PL.mp4,sm_le,i,S,baby,1,8,1.5743864,i,TRUE
