"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct","age"
"105","A19",41,"gestures/cat_POS.mp4","ta_l","i","S","cat",1,40,2.460978,"i",TRUE,19
"106","A19",42,"gestures/cat_PL.mp4","sl_ep","e","S","cat",1,41,1.9819951,"e",TRUE,19
"107","A19",43,"gestures/horse_PL.mp4","w_lk","a","S","horse",1,42,2.2671533,"a",TRUE,19
"108","A19",44,"gestures/cat_PL.mp4","lo_k","o","S","cat",1,43,3.1075938,"o",TRUE,19
"109","A19",45,"gestures/car_PL.mp4","m_ve","o","S","car",1,44,2.3428533,"o",TRUE,19
"110","A19",46,"gestures/frog_POS.mp4","tong_e","u","S","frog",1,45,2.627829,"u",TRUE,19
"111","A19",47,"gestures/boy_PL.mp4","w_ve","a","S","boy",1,46,7.585665,"a",TRUE,19
"112","A19",48,"gestures/baby_PL.mp4","cr_wl","a","S","baby",1,47,2.943194,"a",TRUE,19
"113","A19",49,"gestures/dog_PL.mp4","b_rk","a","S","dog",1,48,2.5438101,"a",TRUE,19
"114","A19",50,"gestures/horse_PL.mp4","k_ck","i","S","horse",1,49,3.0470536,"i",TRUE,19
"115","A19",51,"gestures/dog_PL.mp4","pl_y","a","S","dog",1,50,1.7401818,"a",TRUE,19
"116","A19",52,"gestures/girl_PL.mp4","h_g","u","S","girl",1,51,2.4475849,"u",TRUE,19
"117","A19",53,"gestures/frog_PL.mp4","list_n","e","S","frog",1,52,2.3034494,"e",TRUE,19
"118","A19",54,"gestures/frog_POS.mp4","fo_t","o","S","frog",1,53,2.3959608,"o",TRUE,19
"119","A19",55,"gestures/baby_POS.mp4","t_ddy","e","S","baby",1,54,1.8312975,"e",TRUE,19
"120","A19",56,"gestures/boy_POS.mp4","bo_k","o","S","boy",1,55,1.8099257,"o",TRUE,19
"121","A19",57,"gestures/girl_POS.mp4","dr_ss","e","S","girl",1,56,1.9582192,"e",TRUE,19
"122","A19",58,"gestures/car_PL.mp4","cr_sh","a","S","car",1,57,2.7336195,"a",TRUE,19
"123","A19",59,"gestures/boy_POS.mp4","t-sh_rt","i","S","boy",1,58,2.4718175,"i",TRUE,19
"124","A19",60,"gestures/dog_POS.mp4","n_ck","e","S","dog",1,59,1.8777447,"e",TRUE,19
"125","A19",61,"gestures/girl_POS.mp4","ha_r","i","S","girl",1,60,2.1419907,"i",TRUE,19
"126","A19",62,"gestures/horse_POS.mp4","mo_th","u","S","horse",1,61,2.7310297,"u",TRUE,19
"127","A19",63,"gestures/frog_PL.mp4","j_mp","u","S","frog",1,62,4.006912,"u",TRUE,19
"128","A19",64,"gestures/cat_POS.mp4","n_se","o","S","cat",1,63,2.6404526,"o",TRUE,19
"129","B19",1,"gestures/car_S.mp4","cr_sh","a","G","car",1,0,1.4681816,"a",TRUE,19
"130","B19",2,"gestures/dog_S.mp4","b_rk","a","G","dog",1,1,1.0339347,"a",TRUE,19
"131","B19",3,"gestures/dog_S.mp4","pl_y","a","G","dog",1,2,1.1155323,"a",TRUE,19
"132","B19",4,"gestures/boy_S.mp4","bo_k","o","G","boy",1,3,1.3211138,"o",TRUE,19
"133","B19",5,"gestures/cat_S.mp4","sl_ep","e","G","cat",1,4,1.2494689,"e",TRUE,19
"134","B19",6,"gestures/frog_S.mp4","list_n","e","G","frog",1,5,1.2920862,"e",TRUE,19
"135","B19",7,"gestures/cat_S.mp4","ta_l","i","G","cat",1,6,2.7513068,"i",TRUE,19
"136","B19",8,"gestures/boy_S.mp4","t-sh_rt","i","G","boy",1,7,1.7771016,"i",TRUE,19
"137","B19",9,"gestures/baby_S.mp4","bl_nket","a","G","baby",1,8,1.3281007,"a",TRUE,19
"138","B19",10,"gestures/cat_S.mp4","n_se","o","G","cat",1,9,1.2291476,"o",TRUE,19
"139","B19",11,"gestures/horse_S.mp4","mo_th","u","G","horse",1,10,1.514399,"u",TRUE,19
"140","B19",12,"gestures/frog_S.mp4","fo_t","o","G","frog",1,11,2.5770042,"o",TRUE,19
"141","B19",13,"gestures/car_S.mp4","m_ve","o","G","car",1,12,1.5134317,"o",TRUE,19
"142","B19",14,"gestures/girl_S.mp4","dr_ss","e","G","girl",1,13,1.2489247,"e",TRUE,19
"143","B19",15,"gestures/girl_S.mp4","wh_stle","i","G","girl",1,14,1.9184523,"i",TRUE,19
"144","B19",16,"gestures/boy_S.mp4","po_nt","i","G","boy",1,15,1.0477316,"i",TRUE,19
"145","B19",17,"gestures/cat_S.mp4","lo_k","o","G","cat",1,16,1.4936103,"o",TRUE,19
"146","B19",18,"gestures/horse_S.mp4","k_ck","i","G","horse",1,17,1.3684418,"i",TRUE,19
"147","B19",19,"gestures/girl_S.mp4","ha_r","i","G","girl",1,18,1.207225,"i",TRUE,19
"148","B19",20,"gestures/baby_S.mp4","sm_le","i","G","baby",1,19,1.4771307,"i",TRUE,19
"149","B19",21,"gestures/boy_S.mp4","w_ve","a","G","boy",1,20,1.5671976,"o",FALSE,19
"150","B19",22,"gestures/horse_S.mp4","w_lk","a","G","horse",1,21,1.2932249,"a",TRUE,19
"151","B19",23,"gestures/frog_S.mp4","j_mp","u","G","frog",1,22,1.329954,"u",TRUE,19
"152","B19",24,"gestures/girl_S.mp4","h_g","u","G","girl",1,23,1.0936123,"u",TRUE,19
"153","B19",25,"gestures/baby_S.mp4","t_ddy","e","G","baby",1,24,1.2723827,"e",TRUE,19
"154","B19",26,"gestures/car_S.mp4","wind_w","o","G","car",1,25,1.6626892,"o",TRUE,19
"155","B19",27,"gestures/car_S.mp4","whe_l","e","G","car",1,26,1.7205943,"e",TRUE,19
"156","B19",28,"gestures/dog_S.mp4","to_th","o","G","dog",1,27,1.5495543,"u",FALSE,19
"157","B19",29,"gestures/dog_S.mp4","n_ck","e","G","dog",1,28,1.2139194,"e",TRUE,19
"158","B19",30,"gestures/frog_S.mp4","tong_e","u","G","frog",1,29,1.4648902,"u",TRUE,19
"159","B19",31,"gestures/horse_S.mp4","h_ad","e","G","horse",1,30,1.2969776,"e",TRUE,19
"160","B19",32,"gestures/baby_S.mp4","cr_wl","a","G","baby",1,31,1.1250889,"a",TRUE,19
"161","B19",33,"gestures/horse_PL.mp4","w_lk","a","S","horse",1,32,1.1571367,"a",TRUE,19
"162","B19",34,"gestures/boy_POS.mp4","t-sh_rt","i","S","boy",1,33,1.2438183,"i",TRUE,19
"163","B19",35,"gestures/girl_PL.mp4","h_g","u","S","girl",1,34,1.1798949,"u",TRUE,19
"164","B19",36,"gestures/frog_POS.mp4","tong_e","u","S","frog",1,35,1.2127379,"u",TRUE,19
"165","B19",37,"gestures/car_POS.mp4","wind_w","o","S","car",1,36,1.3313961,"o",TRUE,19
"166","B19",38,"gestures/baby_POS.mp4","bl_nket","a","S","baby",1,37,1.0241119,"a",TRUE,19
"167","B19",39,"gestures/girl_POS.mp4","dr_ss","e","S","girl",1,38,1.0191559,"e",TRUE,19
"168","B19",40,"gestures/cat_PL.mp4","lo_k","o","S","cat",1,39,1.293952,"o",TRUE,19
"169","B19",41,"gestures/horse_PL.mp4","k_ck","i","S","horse",1,40,1.1750618,"i",TRUE,19
"170","B19",42,"gestures/baby_POS.mp4","t_ddy","e","S","baby",1,41,0.97577906,"e",TRUE,19
"171","B19",43,"gestures/car_POS.mp4","whe_l","e","S","car",1,42,1.1313702,"e",TRUE,19
"172","B19",44,"gestures/frog_PL.mp4","j_mp","u","S","frog",1,43,1.1512413,"u",TRUE,19
"173","B19",45,"gestures/boy_POS.mp4","bo_k","o","S","boy",1,44,1.3300675,"o",TRUE,19
